Name,Data,News,Evaluation
AFLAC Inc,02/05/2023,AFLAC Inc. stock underperforms Thursday when compared to competitors,still open
AFLAC Inc,02/05/2023,"AFLAC Inc Q4 Profit Decreases, but beats estimates",still open
AFLAC Inc,02/05/2023,Legacy Financial Strategies LLC Raises Stock Holdings in Aflac ...,still open
AFLAC Inc,02/05/2023,"AFLAC Inc. stock falls Thursday, underperforms market",still open
AFLAC Inc,02/05/2023,The North Carolina Treasurer resigns from his position at Aflac ...,still open
AFLAC Inc,02/05/2023,"AFLAC Inc. stock rises Friday, still underperforms market",still open
AFLAC Inc,02/05/2023,"AFLAC Inc. stock rises Friday, outperforms market",still open
AFLAC Inc,02/05/2023,Aflac (AFL) Q4 Earnings Beat on Lower Benefits and Expenses,still open
AFLAC Inc,02/05/2023,Aflac: Q4 Earnings Snapshot,still open
AFLAC Inc,02/05/2023,"First Republic Investment Management Inc. buys 6,741 Aflac ...",still open
AFLAC Inc,02/05/2023,Aflac 4Q Profit Plunges on Foreign Exchange,still open
AFLAC Inc,02/05/2023,"The Zacks Analyst Blog Highlights Costco, Intuit, Schlumberger ...",still open
AFLAC Inc,02/05/2023,"Insurance Stocks to Watch for Q4 Earnings on Feb 1: MET, AFL & More",still open
AFLAC Inc,02/05/2023,15 Cheapest Dividend Aristocrats Right Now,still open
AFLAC Inc,02/05/2023,Lincoln National Corp. stock underperforms Friday when compared to competitors,still open
AFLAC Inc,02/05/2023,"Capital, investment income concerns take center stage for life ...",still open
AFLAC Inc,02/05/2023,March 17th Options Now Available For AFLAC,still open
AFLAC Inc,02/05/2023,Pagaya Technologies Ltd. (NASDAQ:PGY) Short Interest Update,still open
AFLAC Inc,02/05/2023,"After-Hours Earnings Report for February 1, 2023 : META, MET ...",still open
AFLAC Inc,02/05/2023,U.S. stocks mixed at close of trade; Dow Jones Industrial Average ...,still open
AFLAC Inc,02/05/2023,5 Insurance Stocks to Buy Ahead of Q4 Earnings Results,still open
AFLAC Inc,02/05/2023,Top 5 4th Quarter Trades of Guinness Asset Management LTD,still open
AFLAC Inc,02/05/2023,Aflac Incorporated Announces 5.0% Increase in the First Quarter ...,still open
AFLAC Inc,02/05/2023,"Aflac Incorporated Announces Second Quarter Results, Reports ...",still open
AFLAC Inc,02/05/2023,"Aflac Incorporated names Virgil R. Miller as president, Aflac US",still open
AFLAC Inc,02/05/2023,"Aflac Incorporated Announces Third Quarter Results, Reports Third ...",still open
AFLAC Inc,02/05/2023,"Dental Insurance Market Size, Analysis, Leading Key Players ...",still open
AFLAC Inc,02/05/2023,Eric M. Kirsch to Retire as Global Chief Investment Officer and ...,still open
AFLAC Inc,02/05/2023,Aflac and Trupanion Announce Joint Venture - Aflac Pet Insurance ...,still open
AFLAC Inc,02/05/2023,"Top Stock Reports for Costco Wholesale, Intuit & Schlumberger",still open
AFLAC Inc,02/05/2023,12 Best DRIP Stocks To Own,still open
AFLAC Inc,02/05/2023,Aflac expands consumer-directed portfolio in U.S. with addition of ...,still open
