Name,Data,News,Evaluation
The Hershey Company,02/05/2023,"Brokerages have given The Hershey Company (NYSE:HSY) an average recommendation of ""Hold.""",still open
The Hershey Company,02/05/2023,"Trader Joe's, Hershey sued over lead, cadmium levels in dark chocolate",still open
The Hershey Company,02/05/2023,"Hershey is sued over chocolate bars allegedly containing lead, cadmium",still open
The Hershey Company,02/05/2023,Hershey sued over chocolate containing heavy metals,still open
The Hershey Company,02/05/2023,Hershey sued in US over metal in dark chocolate claim,still open
The Hershey Company,02/05/2023,Reese's has really gone wild this time. Introducing Reese's Dipped ...,still open
The Hershey Company,02/05/2023,Reese's unveils dipped animal crackers,still open
The Hershey Company,02/05/2023,Reese’s Dipped Animal Crackers are in stores now,still open
The Hershey Company,02/05/2023,The Hershey Company recognized as one of America's Most Just ...,still open
The Hershey Company,02/05/2023,Hershey Recognized as 1 of America's JUST Companies,still open
The Hershey Company,02/05/2023,Alphasimplex Group LLC Invests $279000 in The Hershey ...,still open
The Hershey Company,02/05/2023,Hershey's Chocolate World Celebrates 50 Years of Fun,still open
The Hershey Company,02/05/2023,The Hershey Company (HSY) Q4 2022 Earnings Call Transcript,still open
The Hershey Company,02/05/2023,El Paso woman known as 'Kiss Lady' recognized by The Hershey Company,still open
The Hershey Company,02/05/2023,Hershey rolls out its seasonal confectionery for Valentine's Day and ...,still open
The Hershey Company,02/05/2023,The Hershey Company Announces Organizational Changes to its ...,still open
The Hershey Company,02/05/2023,Hershey Spreads Love and Hoppiness This Season with New ...,still open
The Hershey Company,02/05/2023,The Hershey Company (NYSE:HSY) Given Average ...,still open
The Hershey Company,02/05/2023,Hershey Company earns ranking as 'Just' company—but how just?,still open
The Hershey Company,02/05/2023,"Goldman Sachs Adjusts Price Target on Hershey Company to $277 From $255, Maintains Buy Rating",still open
The Hershey Company,02/05/2023,The Hershey Company - Consensus Indicates Potential 10.4% Upside,still open
The Hershey Company,02/05/2023,Hershey (HSY) to Post Q4 Earnings: What's in the Cards?,still open
The Hershey Company,02/05/2023,Virginia CTB Approves New Rail Spur at Hershey Chocolate Facility,still open
The Hershey Company,02/05/2023,Hershey (HSY) Declares $1.04 Dividend,still open
The Hershey Company,02/05/2023,Hershey Hit With Another Suit Alleging Lead In Dark Chocolate,still open
The Hershey Company,02/05/2023,Hersheypark is Must-Visit Destination Throughout 2023,still open
The Hershey Company,02/05/2023,Clear Street Markets LLC Buys 5707 Shares of The Hershey ...,still open
The Hershey Company,02/05/2023,Reese's moves into ice cream with seven new candy combos,still open
The Hershey Company,02/05/2023,"Hershey’s Chocolate World turns 50: How to join the fun, and when to see its new attraction",still open
The Hershey Company,02/05/2023,Hershey Bears 2023 Teddy Bear Toss Sets New World Record,still open
The Hershey Company,02/05/2023,Brokerages have given The Hershey Company (NYSE:HSY) a ...,still open
The Hershey Company,02/05/2023,10 amusement parks to visit in Pennsylvania,still open
The Hershey Company,02/05/2023,Lead and cadmium are in most of the dark chocolate we eat ...,still open
The Hershey Company,02/05/2023,"With AI-based Custom Algorithms, Marketers Wring More Value ...",still open
The Hershey Company,02/05/2023,Reese's new Dipped Animal Crackers hit stores nationwide,still open
The Hershey Company,02/05/2023,"Slideshow: New products from Reese's, Häagen-Dazs and Tony's ...",still open
The Hershey Company,02/05/2023,"Best Stocks To Buy Now: February 2, 2023",still open
The Hershey Company,02/05/2023,"Cocoa Market Trend Analysis, Development Product Launches, Top ...",still open
The Hershey Company,02/05/2023,The Military-Grade Hershey Bar That Tasted 'A Little Better Than A ...,still open
The Hershey Company,02/05/2023,"ESPN & The Walt Disney Company Present ""GR8TNESS""",still open
The Hershey Company,02/05/2023,"People in the News—Feb. 3, 2023—Dentons, Eckert Seamans ...",still open
The Hershey Company,02/05/2023,Hershey's Holiday Lineup Will Add Extra Sweetness to Your ...,still open
The Hershey Company,02/05/2023,Sweet expansion possible at Hershey Chocolate of Virginia with ...,still open
The Hershey Company,02/05/2023,"Kennedy: Get out of my face, Facebook",still open
The Hershey Company,02/05/2023,Hershey Adds Extra Delight to the Most Popular Holiday Traditions ...,still open
The Hershey Company,02/05/2023,The Hershey Company Announces 'Future CEO' Program to Support ...,still open
The Hershey Company,02/05/2023,Valentine's Day Food Deals and Specials Too Sweet to Miss,still open
The Hershey Company,02/05/2023,These 2 American Classics Just Saw Their Stocks Soar,still open
The Hershey Company,02/05/2023,Vegan Chocolate Market Size & Share to Surpass $1975.2 Million by 2028 | Vantage Market Research,still open
The Hershey Company,02/05/2023,The Hershey Company: Q3 Earnings Further Validates Our Bullish ...,still open
The Hershey Company,02/05/2023,Hershey Reports Third-Quarter 2022 Financial Results; Raises 2022 ...,still open
The Hershey Company,02/05/2023,Fishless Fillets Market worth $7.3 billion by 2032 -Conagra Brands ...,still open
The Hershey Company,02/05/2023,Hershey sued over “harmful” metals in chocolate,still open
The Hershey Company,02/05/2023,The Hershey Company (HSY) Q3 2022 Earnings Call Transcript,still open
The Hershey Company,02/05/2023,"Hershey Co. to build new, 250,000 square-foot facility near current Reese's plant",still open
